name,email,roles,class,section,username
"Reyes, Maria",maria.reyes@det025.edu,cadre instructor,CADRE,,
"Okafor, Sam",sam.okafor@det025.edu,commander,CADRE,,
"Novak, Dee",dee.novak@det025.edu,admin,CADRE,,
"Lindqvist, Ana",ana.lindqvist@det025.edu,instructor,CADRE,,
"Alvarez, Mia",mia.alvarez@gmail.com,student,AS100,Alpha,
"Brooks, Rae",rae.brooks@gmail.com,student,AS100,Bravo,
"Chen, Zoe",zoe.chen@gmail.com,student,AS200,Charlie,
"Diaz, Uma",uma.diaz@gmail.com,student,AS300,Alpha,
"Ellis, Dara",dara.ellis@gmail.com,student,AS400,Bravo,
"Ford, Kai",kai.ford@gmail.com,,AS200,Charlie,
